Percentage of patients;T-stage;Midline Extension;Involvement Ipsi;Involvement Contra;Treated Ipsi;Treated Contra;risk;lower bound;upper bound;top 3 spared lnls risk
0.23193916349809887;early;False;['II'];[];['III', 'II'];[];0.07210552441612031;0.058186813527206144;0.08696258829527925;[('contra VII', 0.01722664297970045), ('ipsi I', 0.01560550764624433), ('ipsi VII', 0.012251798107690894)]
0.04182509505703422;late;True;['II'];[];['III', 'II'];['II'];0.09881926698897249;0.08188869860003703;0.11637701780208515;[('contra VII', 0.03174961219723127), ('ipsi I', 0.019335295556619263), ('ipsi VII', 0.014328950046012133)]
0.0038022813688212928;late;False;['II'];['II'];['I', 'III', 'II'];['III', 'II'];0.07987590836422012;0.061395374785756435;0.09964188796202503;[('contra VII', 0.02316795408020557), ('ipsi VII', 0.016647593932433348), ('ipsi IV', 0.013511748125530182)]
0.07604562737642585;late;False;['II'];[];['III', 'II'];[];0.0901838377956242;0.0711670821386301;0.10621662726506892;[('contra VII', 0.02098275010494215), ('ipsi I', 0.020615780421830904), ('ipsi VII', 0.015028901075019346)]
0.0038022813688212928;early;False;['I', 'II', 'IV'];[];['III', 'I', 'II', 'IV'];[];0.08520524782636651;0.0671047622023289;0.10668741549607598;[('ipsi V', 0.02627034073307443), ('contra VII', 0.025566143981154428), ('ipsi VII', 0.01841484605326322)]
0.13688212927756654;early;False;[];[];['II'];[];0.07604973920540244;0.06461495344352859;0.09019189286909346;[('ipsi III', 0.03378559750107177), ('contra VII', 0.012543553515677056), ('ipsi VII', 0.008869660379114245)]
0.0076045627376425855;early;False;['II'];['II'];['III', 'II'];['III', 'II'];0.08206059401016483;0.06485568100871351;0.10073452234271524;[('contra VII', 0.019545935542034112), ('ipsi I', 0.018586986485187407), ('ipsi VII', 0.013951298962949615)]
0.034220532319391636;early;False;['III'];[];['IV', 'II', 'III'];[];0.07326270371980761;0.05863121651649977;0.08941233111637847;[('contra VII', 0.018376143392153498), ('ipsi V', 0.01592373950061527), ('ipsi I', 0.014804902219166877)]
0.0038022813688212928;early;True;['I'];['II'];['III', 'II', 'I'];['III', 'II'];0.08602796388517914;0.06768350798522195;0.1097238699534221;[('contra VII', 0.03289609247584), ('ipsi VII', 0.014839087583084165), ('contra I', 0.011755811967772336)]
0.03802281368821293;late;False;[];[];['III', 'II'];[];0.06306291651838512;0.04753735818340976;0.07785523771786751;[('contra VII', 0.016807496668428203), ('ipsi VII', 0.011976377988934186), ('contra II', 0.010265285181628662)]
0.011406844106463879;late;True;['II', 'III'];[];['IV', 'II', 'III'];['VII', 'II'];0.08617993445059154;0.07513607964899603;0.09872376265865805;[('ipsi I', 0.027558590434925954), ('ipsi V', 0.023669841864815147), ('ipsi VII', 0.017068036658687502)]
0.0076045627376425855;early;False;['I', 'II'];[];['III', 'I', 'II'];[];0.07463813094692376;0.05671252211762845;0.09447182009037848;[('contra VII', 0.021468243199284844), ('ipsi VII', 0.01536590083187949), ('contra II', 0.0126316550323777)]
0.0038022813688212928;early;True;['II', 'III', 'IV'];['III'];['V', 'II', 'III', 'IV'];['VII', 'IV', 'II', 'III'];0.07574943575402088;0.06224985750414591;0.09172911163701467;[('ipsi I', 0.03205821234655623), ('ipsi VII', 0.01892280963107141), ('contra V', 0.01696851710349926)]
0.0038022813688212928;late;True;['I', 'II'];['I', 'II', 'III'];['III', 'I', 'II'];['VII', 'IV', 'I', 'II', 'III'];0.08522976695527398;0.07031806357936701;0.10103784790308015;[('contra V', 0.02370358367921331), ('ipsi IV', 0.023340640639240268), ('ipsi VII', 0.022059015551011196)]
0.06844106463878327;early;False;['II', 'III'];[];['IV', 'II', 'III'];[];0.09118509883773751;0.07394109408071273;0.10983165976524584;[('ipsi I', 0.02354262979925186), ('contra VII', 0.021094101448748126), ('ipsi V', 0.019921841950007086)]
0.0038022813688212928;late;True;['I', 'II', 'III'];['II'];['IV', 'I', 'II', 'III'];['VII', 'III', 'II'];0.0808040663291829;0.06655203085599785;0.09465560892271949;[('ipsi V', 0.03148504267777483), ('ipsi VII', 0.020531544351227313), ('contra I', 0.01738537218125721)]
0.011406844106463879;late;True;[];[];['III', 'II'];['II'];0.06878190522218736;0.05519831161411982;0.08422555713413822;[('contra VII', 0.02494636616643171), ('ipsi VII', 0.01119819265601437), ('ipsi I', 0.008872631825350152)]
0.015209125475285171;early;False;['II', 'III', 'IV'];[];['V', 'II', 'III', 'IV'];[];0.08732694383480732;0.06885668150120274;0.10947421552666814;[('ipsi I', 0.029921333172215885), ('contra VII', 0.024936181785345606), ('ipsi VII', 0.017933633968644943)]
0.0076045627376425855;early;False;['IV'];[];['III', 'II', 'IV'];[];0.06757930580051832;0.053603764345176316;0.08539623634312339;[('contra VII', 0.018544815448681907), ('ipsi VII', 0.013219050484140203), ('ipsi I', 0.012170601006894826)]
0.0076045627376425855;early;True;['II'];['II'];['III', 'II'];['III', 'II'];0.0939625525610488;0.07634876338431011;0.11142014133192765;[('contra VII', 0.030109379104861313), ('ipsi I', 0.01783317113996712), ('ipsi VII', 0.013534397945277875)]
