Percentage of patients;T-stage;Midline Extension;Involvement Ipsi;Involvement Contra;Treated Ipsi;Treated Contra;risk;lower bound;upper bound;top 3 spared lnls risk
0.045454545454545456;late;True;['II'];[];['III', 'II'];['II'];0.07504134530123652;0.0644124002779907;0.08621153420205056;[('ipsi I', 0.01923194081302892), ('ipsi VII', 0.014271385273828775), ('contra III', 0.011018250671097346)]
0.00909090909090909;early;False;['II'];['II'];['III', 'II'];['II'];0.09910973195510484;0.08545347078247938;0.11298537559907333;[('contra III', 0.0359145216208645), ('ipsi I', 0.01853190442561388), ('ipsi VII', 0.013920808781834115)]
0.0018181818181818182;late;True;['I', 'II', 'III', 'IV', 'VII'];['I', 'II', 'III', 'IV'];['V', 'I', 'II', 'III', 'IV', 'VII'];['I', 'II', 'III', 'IV'];0.05770918768470072;0.03658422543562752;0.08058439204100425;[('contra V', 0.04625235911222745), ('contra VII', 0.012032674071963208)]
0.0018181818181818182;late;True;['II', 'III', 'IV', 'VII'];[];['V', 'II', 'III', 'IV', 'VII'];['II'];0.07174202725335524;0.059515409381421;0.08479733954583943;[('ipsi I', 0.0373398705031799), ('contra III', 0.01677152397563046), ('contra VII', 0.00922528153090065)]
0.00909090909090909;early;False;['II', 'VII'];[];['III', 'VII', 'II'];[];0.05780795224180342;0.04887656189862499;0.06670817992917777;[('ipsi I', 0.01951255408747008), ('contra II', 0.012056203701630519), ('ipsi IV', 0.010708731605393436)]
0.03090909090909091;late;False;[];[];['II'];[];0.09337074240231204;0.07857950128767341;0.10931617104489295;[('ipsi III', 0.049245568463188935), ('ipsi VII', 0.011934290101857167), ('contra II', 0.010236617480442906)]
0.12;early;False;[];[];['II'];[];0.06656844006251406;0.05800672212804101;0.07638645285081153;[('ipsi III', 0.03362440150616282), ('ipsi VII', 0.008835409286623724), ('contra II', 0.007993320482771987)]
0.0018181818181818182;late;False;['II', 'III', 'IV', 'V', 'VII'];[];['II', 'III', 'IV', 'V', 'VII'];[];0.07008520964225626;0.056182386706265734;0.08519893641499912;[('ipsi I', 0.04354016530871928), ('contra II', 0.01689945142315856), ('contra VII', 0.006389873012543708)]
0.2109090909090909;early;False;['II'];[];['III', 'II'];[];0.05898086309842372;0.0502767266720362;0.06779967519421529;[('ipsi I', 0.015551019397562994), ('ipsi VII', 0.012221003860488005), ('contra II', 0.010582721031264477)]
0.07090909090909091;early;False;['II', 'III'];[];['IV', 'II', 'III'];[];0.07539648250430651;0.06489053995758069;0.08626445807423909;[('ipsi I', 0.02348250533881052), ('ipsi V', 0.019866757514341957), ('ipsi VII', 0.015049439825076342)]
0.005454545454545455;early;False;['II', 'III', 'IV', 'V'];[];['II', 'III', 'IV', 'V'];[];0.07645204783190719;0.06524311040649516;0.09135322815717911;[('ipsi I', 0.03454152148950529), ('ipsi VII', 0.01975499040588061), ('contra II', 0.015065373673865411)]
0.06727272727272728;late;False;['II'];[];['III', 'II'];[];0.07445961160629269;0.06393890207353116;0.08444687394332062;[('ipsi I', 0.020547329346024983), ('ipsi VII', 0.014991523158289626), ('contra II', 0.012331470317034542)]
