Percentage of patients;T-stage;Midline Extension;Involvement Ipsi;Involvement Contra;Treated Ipsi;Treated Contra;risk;lower bound;upper bound;top 3 spared lnls risk
0.045454545454545456;late;True;['II'];[];['IV', 'III', 'I', 'II'];[];0.04940053746867913;0.04083695434151554;0.05870993455562287;[('contra III', 0.015633483100762156), ('ipsi VII', 0.010830370368630906), ('ipsi V', 0.010773772018819626)]
0.00909090909090909;early;False;['II'];['II'];['IV', 'III', 'I', 'II'];['I', 'II'];0.06716632068874977;0.05217660496214526;0.08114081592166501;[('contra III', 0.043123946691337414), ('ipsi VII', 0.011045841101831464), ('ipsi V', 0.010913976633047493)]
0.0018181818181818182;late;True;['I', 'II', 'III', 'IV', 'VII'];['I', 'II', 'III', 'IV'];['V', 'VII', 'I', 'II', 'III', 'IV'];['I', 'II', 'III', 'IV'];0.045861135399728144;0.022208792848688843;0.0806484484135738;[('contra V', 0.045042661589421176), ('contra VII', 0.0008591453470785861)]
0.0018181818181818182;late;True;['II', 'III', 'IV', 'VII'];[];['V', 'I', 'VII', 'II', 'III', 'IV'];[];0.036565743693919954;0.028700289652616562;0.04622184325303944;[('contra III', 0.02059905835975763), ('contra I', 0.008815495384029188), ('contra II', 0.00518742271808114)]
0.00909090909090909;early;False;['II', 'VII'];[];['IV', 'III', 'I', 'II', 'VII'];[];0.03694018571635876;0.029439681627715063;0.045306726682840776;[('contra III', 0.014372656363867456), ('ipsi V', 0.010654873926377938), ('contra I', 0.007209183722382319)]
0.03090909090909091;late;False;[];[];['I', 'III'];[];0.09843595399372893;0.07973948093178573;0.11987727712814837;[('ipsi IV', 0.044943025562282725), ('ipsi II', 0.028754534004710258), ('contra III', 0.009888066927934754)]
0.12;early;False;[];[];['I', 'III'];[];0.07308590347040199;0.0652875248052443;0.08244980382749492;[('ipsi IV', 0.0325445584659938), ('ipsi II', 0.019692187886069093), ('contra III', 0.00784605037604916)]
0.0018181818181818182;late;False;['II', 'III', 'IV', 'V', 'VII'];[];['I', 'II', 'III', 'IV', 'V', 'VII'];[];0.036294244769376705;0.028055692898712268;0.04607426875850429;[('contra III', 0.020391072117934228), ('contra I', 0.008671848930096239), ('contra II', 0.005435944704551797)]
0.2109090909090909;early;False;['II'];[];['III', 'I', 'II'];[];0.09916882294295964;0.08236714155143646;0.11801041990966288;[('ipsi IV', 0.06373915795463786), ('contra III', 0.012681337400616742), ('ipsi VII', 0.009320534853395849)]
0.07090909090909091;early;False;['II', 'III'];[];['IV', 'I', 'II', 'III'];[];0.0488068314129832;0.040117269754576086;0.05796137941613671;[('contra III', 0.014493736088878698), ('ipsi V', 0.011893323819008112), ('ipsi VII', 0.01094244564632773)]
0.005454545454545455;early;False;['II', 'III', 'IV', 'V'];[];['I', 'II', 'III', 'IV', 'V'];[];0.04661753244990596;0.03826831122733293;0.0568462061267886;[('contra III', 0.018092094816607604), ('ipsi VII', 0.014505849610165874), ('contra I', 0.00813737315410706)]
0.06727272727272728;late;False;['II'];[];['IV', 'III', 'I', 'II'];[];0.04741694854894453;0.0392885272314287;0.05622229990369086;[('contra III', 0.014342393793893966), ('ipsi VII', 0.010850632038780018), ('ipsi V', 0.010808865434375328)]
0.0018181818181818182;early;False;['I', 'II', 'III', 'IV', 'VII'];[];['VII', 'I', 'II', 'III', 'IV'];[];0.0970995612082792;0.06270681869359868;0.14760625960107648;[('ipsi V', 0.06727434832187615), ('contra III', 0.017803147102166024), ('contra I', 0.008070487548610356)]
0.02727272727272727;late;True;[];[];['I', 'III'];[];0.09941704455102929;0.08093636989013211;0.1211891967434083;[('ipsi IV', 0.044769906370382924), ('ipsi II', 0.028625225633846563), ('contra III', 0.010757228431419663)]
0.0018181818181818182;early;False;['VII'];['VII'];['IV', 'I', 'III', 'VII'];['VII'];0.07617174421298112;0.06182271891329756;0.09518152439283502;[('ipsi II', 0.044854011715791765), ('contra III', 0.013235374757163215), ('ipsi V', 0.0090290544575223)]
0.02909090909090909;late;False;['II', 'III'];[];['IV', 'I', 'II', 'III'];[];0.05570713312570474;0.04624929306109306;0.0655822117588154;[('contra III', 0.016063381371381073), ('ipsi V', 0.015006214216438538), ('ipsi VII', 0.012470338359426196)]
0.01090909090909091;late;False;['I', 'II'];[];['IV', 'III', 'I', 'II'];[];0.05074672669766318;0.04165699165121291;0.06122474869033881;[('contra III', 0.015240260767118988), ('ipsi V', 0.011963610916538872), ('ipsi VII', 0.011652028471296148)]
0.01090909090909091;early;False;['II', 'III', 'IV'];[];['I', 'II', 'III', 'IV'];[];0.09550577164091753;0.06884620348779219;0.13570769941464073;[('ipsi V', 0.056181082039884575), ('contra III', 0.01626942876107056), ('ipsi VII', 0.012644980002253373)]
0.0018181818181818182;late;False;['I', 'II', 'III'];['II'];['IV', 'I', 'II', 'III'];['I', 'II'];0.09372661396625132;0.07431636798704232;0.11482918747745458;[('contra III', 0.058844041549138665), ('ipsi V', 0.018994100270036254), ('ipsi VII', 0.014279098525556491)]
0.0018181818181818182;late;False;['II', 'III', 'V', 'VII'];[];['IV', 'I', 'II', 'III', 'V', 'VII'];[];0.03499127238764603;0.027503850273181207;0.0440638266238399;[('contra III', 0.019576775672520374), ('contra I', 0.00848425420299133), ('contra II', 0.005165329689095092)]
0.0018181818181818182;early;False;['III', 'VII'];[];['IV', 'I', 'III', 'VII'];[];0.08245116565853362;0.06646788449315492;0.10270435596991774;[('ipsi II', 0.04984641342948738), ('contra III', 0.013323031824910533), ('ipsi V', 0.0101425457910494)]
0.005454545454545455;late;True;['II', 'VII'];[];['IV', 'III', 'I', 'II', 'VII'];[];0.044513733807079556;0.03535304501709857;0.054879516964582244;[('contra III', 0.017451379768444897), ('ipsi V', 0.013441667537006298), ('contra I', 0.00807167916331371)]
0.0018181818181818182;early;False;['I', 'II', 'III', 'IV'];['II'];['V', 'I', 'II', 'III', 'IV'];['I', 'II'];0.07610217100572203;0.057015074441199895;0.09534378812239233;[('contra III', 0.05859878877727878), ('ipsi VII', 0.014206921031050895), ('contra IV', 0.003862283596950135)]
0.0018181818181818182;late;False;['I', 'II', 'V'];['II', 'III', 'IV', 'V', 'VII'];['IV', 'III', 'I', 'II', 'V'];['I', 'II', 'III', 'IV', 'V', 'VII'];0.020375591250854426;0.013042146215624002;0.029218220154311945;[('ipsi VII', 0.020375591250854426)]
0.0036363636363636364;late;False;['I', 'II', 'III'];[];['IV', 'I', 'II', 'III'];[];0.05825591369939164;0.04824630682231137;0.07003141596611454;[('contra III', 0.01665593776331537), ('ipsi V', 0.016122486564164967), ('ipsi VII', 0.013036646848122184)]
0.0036363636363636364;late;False;['IV'];[];['II', 'I', 'III', 'IV'];[];0.07882589231186228;0.05472218345041257;0.11175461355273238;[('ipsi V', 0.04507128352206501), ('contra III', 0.01376115966649128), ('ipsi VII', 0.010361114946306572)]
0.0018181818181818182;late;False;['II', 'VII'];[];['IV', 'III', 'I', 'II', 'VII'];[];0.04227515484802501;0.03348333630837047;0.05256012997188266;[('contra III', 0.016002445674994373), ('ipsi V', 0.013483549939596374), ('contra I', 0.007619082750562886)]
0.0018181818181818182;early;False;['II', 'III'];['II', 'III', 'IV', 'V'];['IV', 'I', 'II', 'III'];['I', 'II', 'III', 'IV', 'V'];0.04254965195249342;0.0312531920358367;0.055460392870372015;[('ipsi V', 0.025626896960967732), ('ipsi VII', 0.016766229261309468), ('contra VII', 0.0006568032905514634)]
0.00909090909090909;early;False;['II', 'III'];['II'];['IV', 'I', 'II', 'III'];['I', 'II'];0.07861814623927992;0.061508194211235455;0.09480481795132709;[('contra III', 0.04970619029790445), ('ipsi V', 0.014620019558318754), ('ipsi VII', 0.012373822803699206)]
0.00909090909090909;late;True;['II', 'III'];['II'];['IV', 'I', 'II', 'III'];['I', 'II'];0.09241719436193109;0.07354781865795018;0.11254221661916691;[('contra III', 0.05857449919184987), ('ipsi V', 0.018008750880403115), ('ipsi VII', 0.01384804727485062)]
0.0018181818181818182;late;True;['II'];['II', 'VII'];['IV', 'III', 'I', 'II'];['I', 'II', 'VII'];0.09012720786305531;0.07192580079594105;0.11086950691815159;[('contra III', 0.058513123936926065), ('ipsi V', 0.016200490827848163), ('ipsi VII', 0.01384197966009319)]
0.0018181818181818182;late;True;[];['II'];['II', 'IV', 'I', 'III'];['I', 'II'];0.06116605310823058;0.04767161563270333;0.07637763051767332;[('contra III', 0.03942537558318623), ('ipsi VII', 0.010044185292289351), ('ipsi V', 0.009392866210277824)]
0.007272727272727273;late;True;['II'];['II'];['IV', 'III', 'I', 'II'];['I', 'II'];0.08041809039238629;0.06419105115289613;0.09933508240132541;[('contra III', 0.05200198936668919), ('ipsi V', 0.013609296864845237), ('ipsi VII', 0.012535798089574151)]
0.0036363636363636364;late;False;['II'];['II'];['IV', 'III', 'I', 'II'];['I', 'II'];0.07859579059957184;0.06260891618251556;0.096401516244913;[('contra III', 0.050431114826315813), ('ipsi V', 0.013641841614593154), ('ipsi VII', 0.01255180078260297)]
0.005454545454545455;late;True;['II', 'VII'];['II'];['IV', 'III', 'I', 'II', 'VII'];['I', 'II'];0.07822770455203319;0.061400821277247664;0.09762089109156924;[('contra III', 0.0586353888739303), ('ipsi V', 0.016255621498589733), ('contra IV', 0.0041607920142872025)]
0.023636363636363636;early;True;[];[];['I', 'III'];[];0.07392472837439303;0.0660742499793585;0.08322162068879196;[('ipsi IV', 0.0324189345572488), ('ipsi II', 0.019601003747534464), ('contra III', 0.008534376017750778)]
0.0018181818181818182;early;True;['VII'];[];['IV', 'I', 'III', 'VII'];[];0.06228245514266044;0.05082862340250515;0.07415206325784326;[('ipsi II', 0.03361937503494222), ('contra III', 0.01232081974623807), ('ipsi V', 0.006894878763253336)]
0.005454545454545455;early;True;['II', 'III'];[];['IV', 'I', 'II', 'III'];[];0.05082199200039844;0.04111184735219858;0.06046619356181128;[('contra III', 0.015805037957389464), ('ipsi V', 0.011859072508269161), ('ipsi VII', 0.010925135521353966)]
0.0018181818181818182;late;False;['I', 'II'];['VII'];['IV', 'III', 'I', 'II'];['VII'];0.05591533222853545;0.04606747615880603;0.06750895178583627;[('contra III', 0.016567697698788634), ('ipsi V', 0.01438923804040067), ('ipsi VII', 0.012960534667958296)]
0.014545454545454545;late;True;['I', 'II', 'III'];[];['IV', 'I', 'II', 'III'];[];0.06052652124139861;0.04991882583924521;0.07299247169924841;[('contra III', 0.018169333591546342), ('ipsi V', 0.01607693759204437), ('ipsi VII', 0.013017584940336793)]
0.005454545454545455;late;True;['III'];[];['IV', 'I', 'III'];[];0.0913198597624035;0.07518942399188218;0.11027706118854229;[('ipsi II', 0.0487534776177656), ('contra III', 0.014261340745296064), ('ipsi V', 0.009993644257977935)]
0.007272727272727273;late;True;['II', 'III', 'VII'];['II'];['IV', 'I', 'II', 'III', 'VII'];['I', 'II'];0.08853901229174214;0.0695162856244887;0.10953279769994174;[('contra III', 0.06437719106991549), ('ipsi V', 0.020963730666005168), ('contra IV', 0.004728352009279516)]
0.02;early;False;['III'];[];['IV', 'I', 'III'];[];0.07268275340842027;0.061424353562894184;0.0847700615073045;[('ipsi II', 0.037357759875328606), ('contra III', 0.011406827876530867), ('ipsi VII', 0.008229463663242759)]
0.0018181818181818182;late;True;['I', 'II'];[];['IV', 'III', 'I', 'II'];[];0.05285436896111651;0.04360215710923465;0.06346668321847362;[('contra III', 0.016619140983448986), ('ipsi V', 0.011928693674484531), ('ipsi VII', 0.01163357508816927)]
0.0018181818181818182;late;True;['VII'];[];['IV', 'I', 'III', 'VII'];[];0.07695286869105109;0.06347518838034896;0.09264000431076924;[('ipsi II', 0.04398623835044531), ('contra III', 0.014178000562000708), ('ipsi V', 0.008918748466146063)]
0.005454545454545455;late;True;['II', 'III'];['II', 'III'];['IV', 'I', 'II', 'III'];['I', 'II', 'III'];0.07996190803858459;0.06468528739935275;0.0971696455936179;[('contra IV', 0.04236169764226842), ('ipsi V', 0.021392201785206934), ('ipsi VII', 0.015218730941768588)]
0.01090909090909091;late;True;['II', 'III'];[];['IV', 'I', 'II', 'III'];[];0.057899195875533715;0.047917691595058556;0.06908195164627545;[('contra III', 0.0175187407669941), ('ipsi V', 0.014960912762601286), ('ipsi VII', 0.012450302256931422)]
0.0018181818181818182;late;True;['II', 'III', 'IV', 'V', 'VII'];['II', 'III', 'VII'];['I', 'II', 'III', 'IV', 'V', 'VII'];['I', 'II', 'III', 'VII'];0.062132821194302634;0.04344984594042388;0.0830293934441155;[('contra IV', 0.058860705554354055), ('contra V', 0.0062369941245412576)]
0.005454545454545455;early;False;['II', 'III', 'VII'];[];['IV', 'I', 'II', 'III', 'VII'];[];0.04305817631956595;0.03465433138984481;0.053144216417871246;[('contra III', 0.015891043750762345), ('ipsi V', 0.01446500439117252), ('contra I', 0.007599661453886352)]
0.0018181818181818182;late;False;['II', 'III', 'IV'];['II', 'III'];['V', 'I', 'II', 'III', 'IV'];['I', 'II', 'III'];0.06506414559638735;0.049182618756747676;0.08240414116396653;[('contra IV', 0.04602714895994321), ('ipsi VII', 0.016553699914421256), ('contra V', 0.004546627546602729)]
0.0018181818181818182;late;False;[];['II'];['II', 'IV', 'I', 'III'];['I', 'II'];0.05967799919076397;0.04660344344163279;0.07401904617969746;[('contra III', 0.03816262018627835), ('ipsi VII', 0.010058800350708046), ('ipsi V', 0.00941570101410524)]
0.0018181818181818182;late;True;['III'];['II'];['II', 'I', 'IV', 'III'];['I', 'II'];0.07454790150759799;0.0579527467673919;0.09297269039373515;[('contra III', 0.047427878090283454), ('ipsi V', 0.013280575055093134), ('ipsi VII', 0.011622790367562554)]
0.00909090909090909;early;True;['II'];[];['IV', 'III', 'I', 'II'];[];0.04282723394625411;0.034287051554378715;0.05092714278146687;[('contra III', 0.013821935467816814), ('ipsi VII', 0.009303698941768385), ('ipsi V', 0.00841985704161583)]
0.0036363636363636364;late;False;['II', 'III'];['II'];['IV', 'I', 'II', 'III'];['I', 'II'];0.09042449530090935;0.07222541786121886;0.11026376816411922;[('contra III', 0.056836712344198806), ('ipsi V', 0.0180490457520662), ('ipsi VII', 0.013863844183404701)]
0.0018181818181818182;early;False;['II'];['III', 'IV'];['IV', 'III', 'I', 'II'];['III', 'IV'];0.06498835541094902;0.04705511145048049;0.08638452433881046;[('contra V', 0.02726147682315095), ('ipsi V', 0.012997146776772281), ('ipsi VII', 0.012328127966826561)]
