Percentage of patients;T-stage;Midline Extension;Involvement Ipsi;Involvement Contra;Treated Ipsi;Treated Contra;risk;lower bound;upper bound;top 3 spared lnls risk
0.023411371237458192;late;True;['II'];[];['IV', 'III', 'I', 'II'];[];0.04940053746867913;0.04083695434151554;0.05870993455562287;[('contra III', 0.015633483100762152), ('ipsi VII', 0.010830370368630906), ('ipsi V', 0.010773772018819627)]
0.005016722408026756;early;False;['II'];['II'];['IV', 'III', 'I', 'II'];['I', 'II'];0.06716632068874977;0.05217660496214526;0.08114081592166501;[('contra III', 0.04312394669133743), ('ipsi VII', 0.011045841101831462), ('ipsi V', 0.010913976633047495)]
0.0016722408026755853;late;True;['I', 'II', 'III', 'IV', 'VII'];['I', 'II', 'III', 'IV'];['V', 'I', 'II', 'III', 'IV', 'VII'];['I', 'II', 'III', 'IV'];0.04586113539972816;0.022208792848688843;0.0806484484135738;[('contra V', 0.04504266158942119), ('contra VII', 0.0008591453470785859)]
0.0016722408026755853;late;True;['II', 'III', 'IV', 'VII'];[];['V', 'I', 'II', 'III', 'IV', 'VII'];[];0.036565743693919954;0.028700289652616562;0.04622184325303944;[('contra III', 0.02059905835975763), ('contra I', 0.008815495384029192), ('contra II', 0.0051874227180811385)]
0.0033444816053511705;early;False;['II', 'VII'];[];['IV', 'III', 'I', 'II', 'VII'];[];0.03694018571635875;0.029439681627715063;0.045306726682840776;[('contra III', 0.014372656363867453), ('ipsi V', 0.010654873926377938), ('contra I', 0.007209183722382319)]
0.011705685618729096;late;False;[];[];['I', 'III'];[];0.0984359539937289;0.07973948093178573;0.11987727712814837;[('ipsi IV', 0.04494302556228273), ('ipsi II', 0.028754534004710237), ('contra III', 0.009888066927934756)]
0.048494983277591976;early;False;[];[];['I', 'III'];[];0.07308590347040199;0.0652875248052443;0.08244980382749492;[('ipsi IV', 0.0325445584659938), ('ipsi II', 0.019692187886069093), ('contra III', 0.007846050376049159)]
0.0016722408026755853;late;False;['II', 'III', 'IV', 'V', 'VII'];[];['I', 'II', 'III', 'IV', 'V', 'VII'];[];0.036294244769376705;0.028055692898712268;0.04607426875850429;[('contra III', 0.020391072117934228), ('contra I', 0.008671848930096239), ('contra II', 0.0054359447045517996)]
0.09364548494983277;early;False;['II'];[];['III', 'I', 'II'];[];0.09916882294295964;0.08236714155143646;0.11801041990966288;[('ipsi IV', 0.06373915795463786), ('contra III', 0.012681337400616744), ('ipsi VII', 0.009320534853395852)]
0.03511705685618729;early;False;['II', 'III'];[];['IV', 'I', 'II', 'III'];[];0.048806831412983184;0.040117269754576086;0.05796137941613671;[('contra III', 0.014493736088878694), ('ipsi V', 0.011893323819008109), ('ipsi VII', 0.01094244564632773)]
0.005016722408026756;early;False;['II', 'III', 'IV', 'V'];[];['I', 'II', 'III', 'IV', 'V'];[];0.04661753244990596;0.03826831122733293;0.0568462061267886;[('contra III', 0.01809209481660761), ('ipsi VII', 0.014505849610165867), ('contra I', 0.008137373154107065)]
0.030100334448160536;late;False;['II'];[];['IV', 'III', 'I', 'II'];[];0.047416948548944536;0.0392885272314287;0.05622229990369086;[('contra III', 0.014342393793893972), ('ipsi VII', 0.01085063203878002), ('ipsi V', 0.010808865434375326)]
0.0016722408026755853;early;False;['I', 'II', 'III', 'IV', 'VII'];[];['VII', 'I', 'II', 'III', 'IV'];[];0.09709956120827926;0.06270681869359868;0.14760625960107648;[('ipsi V', 0.06727434832187619), ('contra III', 0.017803147102166027), ('contra I', 0.00807048754861036)]
0.020066889632107024;late;True;[];[];['I', 'III'];[];0.09941704455102929;0.08093636989013211;0.1211891967434083;[('ipsi IV', 0.044769906370382924), ('ipsi II', 0.02862522563384656), ('contra III', 0.010757228431419666)]
0.0016722408026755853;early;False;['VII'];['VII'];['IV', 'I', 'III', 'VII'];['VII'];0.07617174421298112;0.06182271891329756;0.09518152439283502;[('ipsi II', 0.044854011715791765), ('contra III', 0.013235374757163217), ('ipsi V', 0.0090290544575223)]
0.01839464882943144;late;False;['II', 'III'];[];['IV', 'I', 'II', 'III'];[];0.055707133125704744;0.04624929306109306;0.0655822117588154;[('contra III', 0.016063381371381073), ('ipsi V', 0.015006214216438543), ('ipsi VII', 0.012470338359426193)]
0.005016722408026756;late;False;['I', 'II'];[];['IV', 'III', 'I', 'II'];[];0.05074672669766318;0.04165699165121291;0.06122474869033881;[('contra III', 0.015240260767118988), ('ipsi V', 0.011963610916538874), ('ipsi VII', 0.01165202847129615)]
0.0033444816053511705;early;False;['II', 'III', 'IV'];[];['I', 'II', 'III', 'IV'];[];0.0955057716409175;0.06884620348779219;0.13570769941464073;[('ipsi V', 0.05618108203988456), ('contra III', 0.016269428761070553), ('ipsi VII', 0.01264498000225337)]
0.0016722408026755853;late;False;['I', 'II', 'III'];['II'];['IV', 'I', 'II', 'III'];['I', 'II'];0.09372661396625133;0.07431636798704232;0.11482918747745458;[('contra III', 0.05884404154913868), ('ipsi V', 0.018994100270036254), ('ipsi VII', 0.014279098525556493)]
0.0016722408026755853;late;False;['II', 'III', 'V', 'VII'];[];['IV', 'I', 'II', 'III', 'V', 'VII'];[];0.03499127238764603;0.027503850273181207;0.0440638266238399;[('contra III', 0.01957677567252038), ('contra I', 0.008484254202991332), ('contra II', 0.0051653296890950915)]
0.0016722408026755853;early;False;['III', 'VII'];[];['IV', 'I', 'III', 'VII'];[];0.08245116565853361;0.06646788449315492;0.10270435596991774;[('ipsi II', 0.049846413429487375), ('contra III', 0.013323031824910533), ('ipsi V', 0.010142545791049406)]
0.005016722408026756;late;True;['II', 'VII'];[];['IV', 'III', 'I', 'II', 'VII'];[];0.04451373380707955;0.03535304501709857;0.054879516964582244;[('contra III', 0.017451379768444884), ('ipsi V', 0.013441667537006298), ('contra I', 0.00807167916331371)]
0.0016722408026755853;early;False;['I', 'II', 'III', 'IV'];['II'];['V', 'I', 'II', 'III', 'IV'];['I', 'II'];0.07610217100572202;0.057015074441199895;0.09534378812239233;[('contra III', 0.05859878877727877), ('ipsi VII', 0.014206921031050899), ('contra IV', 0.003862283596950134)]
0.0016722408026755853;late;False;['I', 'II', 'V'];['II', 'III', 'IV', 'V', 'VII'];['IV', 'III', 'I', 'II', 'V'];['I', 'II', 'III', 'IV', 'V', 'VII'];0.02037559125085443;0.013042146215624002;0.029218220154311945;[('ipsi VII', 0.02037559125085443)]
0.0016722408026755853;late;False;['I', 'II', 'III'];[];['IV', 'I', 'II', 'III'];[];0.058255913699391614;0.04824630682231137;0.07003141596611454;[('contra III', 0.016655937763315348), ('ipsi V', 0.016122486564164956), ('ipsi VII', 0.013036646848122195)]
0.005016722408026756;late;False;['II', 'III', 'IV'];[];['V', 'I', 'II', 'III', 'IV'];[];0.04576044322030166;0.036471812038214334;0.055252367708651134;[('contra III', 0.01775411887533886), ('ipsi VII', 0.01418029083372882), ('contra I', 0.008051658504464591)]
0.0016722408026755853;late;False;['II', 'VII'];[];['IV', 'III', 'I', 'II', 'VII'];[];0.04227515484802501;0.03348333630837047;0.05256012997188266;[('contra III', 0.016002445674994373), ('ipsi V', 0.013483549939596377), ('contra I', 0.007619082750562885)]
0.0016722408026755853;early;False;['II', 'III'];['II', 'III', 'IV', 'V'];['IV', 'I', 'II', 'III'];['I', 'II', 'III', 'IV', 'V'];0.042549651952493425;0.0312531920358367;0.055460392870372015;[('ipsi V', 0.025626896960967732), ('ipsi VII', 0.01676622926130946), ('contra VII', 0.0006568032905514634)]
0.0016722408026755853;early;False;['II', 'IV', 'VII'];[];['III', 'I', 'VII', 'II', 'IV'];[];0.08945814455302023;0.05773530481083191;0.13553121466273083;[('ipsi V', 0.06140635504693003), ('contra III', 0.01650892339836772), ('contra I', 0.007751589670169741)]
