Percentage of patients;T-stage;Midline Extension;Involvement Ipsi;Involvement Contra;Treated Ipsi;Treated Contra;risk;lower bound;upper bound;top 3 spared lnls risk
0.04878048780487805;late;True;['II'];[];['III', 'II'];['II'];0.07504134530123652;0.0644124002779907;0.08621153420205056;[('ipsi I', 0.019231940813028918), ('ipsi VII', 0.014271385273828778), ('contra III', 0.01101825067109735)]
0.010452961672473868;early;False;['II'];['II'];['III', 'II'];['II'];0.09910973195510482;0.08545347078247938;0.11298537559907333;[('contra III', 0.035914521620864504), ('ipsi I', 0.018531904425613883), ('ipsi VII', 0.013920808781834116)]
0.003484320557491289;late;True;['I', 'II', 'III', 'IV', 'VII'];['I', 'II', 'III', 'IV'];['V', 'I', 'II', 'III', 'IV', 'VII'];['I', 'II', 'III', 'IV'];0.057709187684700756;0.03658422543562752;0.08058439204100425;[('contra V', 0.046252359112227484), ('contra VII', 0.012032674071963205)]
0.003484320557491289;late;True;['II', 'III', 'IV', 'VII'];[];['V', 'II', 'III', 'IV', 'VII'];['II'];0.07174202725335524;0.059515409381421;0.08479733954583943;[('ipsi I', 0.037339870503179884), ('contra III', 0.016771523975630472), ('contra VII', 0.009225281530900648)]
0.010452961672473868;early;False;['II', 'VII'];[];['III', 'VII', 'II'];[];0.05780795224180342;0.04887656189862499;0.06670817992917777;[('ipsi I', 0.019512554087470078), ('contra II', 0.01205620370163052), ('ipsi IV', 0.010708731605393436)]
0.024390243902439025;late;False;[];[];['II'];[];0.09337074240231201;0.07857950128767341;0.10931617104489295;[('ipsi III', 0.04924556846318892), ('ipsi VII', 0.011934290101857162), ('contra II', 0.010236617480442911)]
0.10452961672473868;early;False;[];[];['II'];[];0.06656844006251403;0.05800672212804101;0.07638645285081153;[('ipsi III', 0.03362440150616281), ('ipsi VII', 0.008835409286623722), ('contra II', 0.007993320482771986)]
0.003484320557491289;late;False;['II', 'III', 'IV', 'V', 'VII'];[];['II', 'III', 'IV', 'V', 'VII'];[];0.07008520964225623;0.056182386706265734;0.08519893641499912;[('ipsi I', 0.04354016530871926), ('contra II', 0.016899451423158567), ('contra VII', 0.0063898730125437125)]
0.1916376306620209;early;False;['II'];[];['III', 'II'];[];0.05898086309842372;0.0502767266720362;0.06779967519421529;[('ipsi I', 0.015551019397562982), ('ipsi VII', 0.012221003860488007), ('contra II', 0.010582721031264477)]
0.07317073170731707;early;False;['II', 'III'];[];['IV', 'II', 'III'];[];0.07539648250430653;0.06489053995758069;0.08626445807423909;[('ipsi I', 0.023482505338810522), ('ipsi V', 0.019866757514341946), ('ipsi VII', 0.015049439825076344)]
0.010452961672473868;early;False;['II', 'III', 'IV', 'V'];[];['II', 'III', 'IV', 'V'];[];0.07645204783190719;0.06524311040649516;0.09135322815717911;[('ipsi I', 0.03454152148950528), ('ipsi VII', 0.019754990405880614), ('contra II', 0.015065373673865408)]
0.059233449477351915;late;False;['II'];[];['III', 'II'];[];0.07445961160629268;0.06393890207353116;0.08444687394332062;[('ipsi I', 0.020547329346024972), ('ipsi VII', 0.014991523158289628), ('contra II', 0.01233147031703453)]
0.003484320557491289;early;False;['I', 'II', 'III', 'IV', 'VII'];[];['I', 'II', 'III', 'IV', 'VII'];[];0.06715822988300822;0.05050194785776663;0.08737432785051183;[('ipsi V', 0.04268606645863858), ('contra II', 0.01578066177378171), ('contra VII', 0.005731094390949558)]
0.041811846689895474;late;True;[];[];['II'];['II'];0.08921204464214771;0.07373750020502436;0.10620310624360713;[('ipsi III', 0.0450327540056548), ('ipsi VII', 0.011133537754535697), ('ipsi I', 0.008800478567844456)]
0.003484320557491289;early;False;['VII'];['VII'];['II', 'VII'];['VII'];0.09898274613464422;0.08359766421294323;0.11583916237620749;[('ipsi III', 0.061896856586319764), ('ipsi I', 0.012466256000768259), ('contra II', 0.012066346489201891)]
0.03832752613240418;late;False;['II', 'III'];[];['IV', 'II', 'III'];[];0.09005503204029135;0.0778566432532011;0.102994092524584;[('ipsi I', 0.028855007557904586), ('ipsi V', 0.024874601147726164), ('ipsi VII', 0.017701941257010457)]
0.013937282229965157;late;False;['I', 'II'];[];['III', 'I', 'II'];[];0.06973297063227868;0.059033275446881125;0.08044063467175777;[('ipsi VII', 0.017989401137700506), ('ipsi IV', 0.016444132834488454), ('ipsi V', 0.015145758043064183)]
0.006968641114982578;early;False;['II', 'III', 'IV'];[];['II', 'III', 'IV'];[];0.09998366392820456;0.08573236835797629;0.11622084908859354;[('ipsi V', 0.034051742530808914), ('ipsi I', 0.02985694626562154), ('ipsi VII', 0.017904012587890972)]
