Percentage of patients;T-stage;Midline Extension;Involvement Ipsi;Involvement Contra;Treated Ipsi;Treated Contra;risk;lower bound;upper bound;top 3 spared lnls risk
0.04878048780487805;late;True;['II'];[];['III', 'II'];['II'];0.07779119264163331;0.06773989730753313;0.08900760326675584;[('ipsi I', 0.020928523675987572), ('ipsi VII', 0.014557727333575793), ('contra III', 0.011961815403681988)]
0.010452961672473868;early;False;['II'];['II'];['III', 'II'];['II'];0.09445015327041506;0.08266935081810324;0.10668439083856691;[('contra III', 0.035968835027182774), ('ipsi I', 0.020669208427492716), ('ipsi VII', 0.01429026347655379)]
0.003484320557491289;late;True;['I', 'II', 'III', 'IV', 'VII'];['I', 'II', 'III', 'IV'];['V', 'I', 'II', 'III', 'IV', 'VII'];['I', 'II', 'III', 'IV'];0.05376755558247046;0.03225635008928569;0.07849678203610887;[('contra V', 0.042696622289579954), ('contra VII', 0.011593177348117057)]
0.003484320557491289;late;True;['II', 'III', 'IV', 'VII'];[];['V', 'VII', 'II', 'III', 'IV'];['II'];0.0649734712945699;0.054991553311946814;0.0749139862476322;[('ipsi I', 0.029491262610923198), ('contra III', 0.018455954726298122), ('contra VII', 0.009056264219927628)]
0.010452961672473868;early;False;['II', 'VII'];[];['III', 'II', 'VII'];[];0.05946839339423192;0.05107325781136613;0.06867697955016971;[('ipsi I', 0.02116365507047417), ('contra II', 0.013205864872457798), ('ipsi V', 0.010817860346250839)]
0.024390243902439025;late;False;[];[];['III', 'II'];[];0.05407995299736296;0.04317664018257278;0.06370793801745545;[('ipsi VII', 0.012058846336127202), ('ipsi I', 0.011562173886506093), ('contra II', 0.011068253544335615)]
0.10452961672473868;early;False;[];[];['II'];[];0.07360877547552469;0.0638667283178775;0.08228965259108242;[('ipsi III', 0.03658636444627594), ('ipsi VII', 0.008858032230079351), ('ipsi I', 0.008707130663085191)]
0.003484320557491289;late;False;['II', 'III', 'IV', 'V', 'VII'];[];['II', 'III', 'IV', 'V', 'VII'];[];0.06104902510718216;0.04958273075540076;0.07104799260211217;[('ipsi I', 0.03287424292999687), ('contra II', 0.01939935230608833), ('contra VII', 0.0063431621243753115)]
0.1916376306620209;early;False;['II'];[];['III', 'II'];[];0.062267689816713864;0.05475971322329365;0.07037766635371391;[('ipsi I', 0.018167227131731883), ('ipsi VII', 0.0124213024155864), ('contra II', 0.011477316585543197)]
0.07317073170731707;early;False;['II', 'III'];[];['IV', 'II', 'III'];[];0.06725186600399238;0.058005503959788755;0.07603845528604493;[('ipsi I', 0.021697712659178064), ('ipsi VII', 0.015324283497389507), ('contra II', 0.013684288245071428)]
0.010452961672473868;early;False;['II', 'III', 'IV', 'V'];[];['II', 'III', 'IV', 'V'];[];0.07171753741785666;0.060606285268124935;0.08218963262531115;[('ipsi I', 0.027909091041616877), ('ipsi VII', 0.020269773910500086), ('contra II', 0.01704475129008285)]
