Percentage of patients;T-stage;Midline Extension;Involvement Ipsi;Involvement Contra;Treated Ipsi;Treated Contra;risk;lower bound;upper bound;top 3 spared lnls risk
0.04878048780487805;late;True;['II'];[];['IV', 'III', 'I', 'II'];[];0.04940053746867913;0.04083695434151554;0.05870993455562287;[('contra III', 0.015633483100762152), ('ipsi VII', 0.010830370368630904), ('ipsi V', 0.010773772018819627)]
0.010452961672473868;early;False;['II'];['II'];['IV', 'III', 'I', 'II'];['I', 'II'];0.06716632068874977;0.05217660496214526;0.08114081592166501;[('contra III', 0.04312394669133743), ('ipsi VII', 0.01104584110183146), ('ipsi V', 0.010913976633047493)]
0.003484320557491289;late;True;['I', 'II', 'III', 'IV', 'VII'];['I', 'II', 'III', 'IV'];['V', 'I', 'II', 'III', 'IV', 'VII'];['I', 'II', 'III', 'IV'];0.04586113539972816;0.022208792848688843;0.0806484484135738;[('contra V', 0.04504266158942119), ('contra VII', 0.0008591453470785857)]
0.003484320557491289;late;True;['II', 'III', 'IV', 'VII'];[];['V', 'I', 'II', 'III', 'IV', 'VII'];[];0.03656574369391995;0.028700289652616562;0.04622184325303944;[('contra III', 0.02059905835975762), ('contra I', 0.008815495384029193), ('contra II', 0.0051874227180811385)]
0.010452961672473868;early;False;['II', 'VII'];[];['IV', 'III', 'I', 'II', 'VII'];[];0.036940185716358764;0.029439681627715063;0.045306726682840776;[('contra III', 0.014372656363867458), ('ipsi V', 0.010654873926377938), ('contra I', 0.007209183722382318)]
0.024390243902439025;late;False;[];[];['I', 'III'];[];0.0984359539937289;0.07973948093178573;0.11987727712814837;[('ipsi IV', 0.044943025562282725), ('ipsi II', 0.028754534004710248), ('contra III', 0.00988806692793475)]
0.10452961672473868;early;False;[];[];['I', 'III'];[];0.07308590347040199;0.0652875248052443;0.08244980382749492;[('ipsi IV', 0.03254455846599379), ('ipsi II', 0.019692187886069093), ('contra III', 0.00784605037604916)]
0.003484320557491289;late;False;['II', 'III', 'IV', 'V', 'VII'];[];['I', 'II', 'III', 'IV', 'V', 'VII'];[];0.03629424476937669;0.028055692898712268;0.04607426875850429;[('contra III', 0.020391072117934218), ('contra I', 0.008671848930096239), ('contra II', 0.005435944704551797)]
0.1916376306620209;early;False;['II'];[];['III', 'I', 'II'];[];0.09916882294295966;0.08236714155143646;0.11801041990966288;[('ipsi IV', 0.06373915795463787), ('contra III', 0.012681337400616744), ('ipsi VII', 0.009320534853395847)]
0.07317073170731707;early;False;['II', 'III'];[];['IV', 'I', 'II', 'III'];[];0.04880683141298318;0.040117269754576086;0.05796137941613671;[('contra III', 0.014493736088878694), ('ipsi V', 0.011893323819008112), ('ipsi VII', 0.010942445646327726)]
0.010452961672473868;early;False;['II', 'III', 'IV', 'V'];[];['I', 'II', 'III', 'IV', 'V'];[];0.04661753244990595;0.03826831122733293;0.0568462061267886;[('contra III', 0.01809209481660761), ('ipsi VII', 0.014505849610165867), ('contra I', 0.00813737315410706)]
0.059233449477351915;late;False;['II'];[];['IV', 'III', 'I', 'II'];[];0.04741694854894454;0.0392885272314287;0.05622229990369086;[('contra III', 0.01434239379389397), ('ipsi VII', 0.010850632038780022), ('ipsi V', 0.010808865434375332)]
0.003484320557491289;early;False;['I', 'II', 'III', 'IV', 'VII'];[];['I', 'II', 'III', 'IV', 'VII'];[];0.0970995612082792;0.06270681869359868;0.14760625960107648;[('ipsi V', 0.06727434832187615), ('contra III', 0.017803147102166024), ('contra I', 0.008070487548610356)]
0.041811846689895474;late;True;[];[];['I', 'III'];[];0.09941704455102927;0.08093636989013211;0.1211891967434083;[('ipsi IV', 0.04476990637038292), ('ipsi II', 0.02862522563384657), ('contra III', 0.010757228431419665)]
0.003484320557491289;early;False;['VII'];['VII'];['IV', 'I', 'III', 'VII'];['VII'];0.07617174421298113;0.06182271891329756;0.09518152439283502;[('ipsi II', 0.04485401171579177), ('contra III', 0.01323537475716321), ('ipsi V', 0.009029054457522303)]
0.03832752613240418;late;False;['II', 'III'];[];['IV', 'I', 'II', 'III'];[];0.05570713312570473;0.04624929306109306;0.0655822117588154;[('contra III', 0.01606338137138107), ('ipsi V', 0.015006214216438536), ('ipsi VII', 0.012470338359426195)]
0.013937282229965157;late;False;['I', 'II'];[];['IV', 'III', 'I', 'II'];[];0.05074672669766318;0.04165699165121291;0.06122474869033881;[('contra III', 0.015240260767118985), ('ipsi V', 0.011963610916538876), ('ipsi VII', 0.011652028471296146)]
0.006968641114982578;early;False;['II', 'III', 'IV'];[];['I', 'II', 'III', 'IV'];[];0.09550577164091753;0.06884620348779219;0.13570769941464073;[('ipsi V', 0.05618108203988458), ('contra III', 0.016269428761070563), ('ipsi VII', 0.012644980002253364)]
0.003484320557491289;late;False;['I', 'II', 'III'];['II'];['IV', 'I', 'II', 'III'];['I', 'II'];0.09372661396625134;0.07431636798704232;0.11482918747745458;[('contra III', 0.058844041549138686), ('ipsi V', 0.018994100270036254), ('ipsi VII', 0.014279098525556493)]
0.003484320557491289;late;False;['II', 'III', 'V', 'VII'];[];['IV', 'I', 'II', 'III', 'V', 'VII'];[];0.03499127238764603;0.027503850273181207;0.0440638266238399;[('contra III', 0.019576775672520377), ('contra I', 0.008484254202991332), ('contra II', 0.0051653296890950915)]
0.003484320557491289;early;False;['III', 'VII'];[];['IV', 'I', 'III', 'VII'];[];0.08245116565853362;0.06646788449315492;0.10270435596991774;[('ipsi II', 0.049846413429487396), ('contra III', 0.01332303182491054), ('ipsi V', 0.010142545791049402)]
0.010452961672473868;late;True;['II', 'VII'];[];['IV', 'III', 'I', 'II', 'VII'];[];0.044513733807079556;0.03535304501709857;0.054879516964582244;[('contra III', 0.017451379768444897), ('ipsi V', 0.013441667537006301), ('contra I', 0.008071679163313708)]
0.003484320557491289;early;False;['I', 'II', 'III', 'IV'];['II'];['V', 'I', 'II', 'III', 'IV'];['I', 'II'];0.07610217100572203;0.057015074441199895;0.09534378812239233;[('contra III', 0.05859878877727878), ('ipsi VII', 0.0142069210310509), ('contra IV', 0.003862283596950135)]
0.003484320557491289;late;False;['I', 'II', 'V'];['II', 'III', 'IV', 'V', 'VII'];['IV', 'III', 'I', 'II', 'V'];['I', 'II', 'III', 'IV', 'V', 'VII'];0.020375591250854422;0.013042146215624002;0.029218220154311945;[('ipsi VII', 0.020375591250854422)]
0.003484320557491289;late;False;['I', 'II', 'III'];[];['IV', 'I', 'II', 'III'];[];0.058255913699391634;0.04824630682231137;0.07003141596611454;[('contra III', 0.01665593776331537), ('ipsi V', 0.016122486564164956), ('ipsi VII', 0.01303664684812219)]
0.006968641114982578;late;False;['IV'];[];['II', 'I', 'III', 'IV'];[];0.07882589231186228;0.05472218345041257;0.11175461355273238;[('ipsi V', 0.04507128352206503), ('contra III', 0.013761159666491272), ('ipsi VII', 0.010361114946306572)]
0.003484320557491289;late;False;['II', 'VII'];[];['IV', 'III', 'I', 'II', 'VII'];[];0.042275154848025014;0.03348333630837047;0.05256012997188266;[('contra III', 0.016002445674994377), ('ipsi V', 0.013483549939596374), ('contra I', 0.007619082750562889)]
0.003484320557491289;early;False;['II', 'III'];['II', 'III', 'IV', 'V'];['IV', 'I', 'II', 'III'];['I', 'II', 'III', 'IV', 'V'];0.04254965195249344;0.0312531920358367;0.055460392870372015;[('ipsi V', 0.02562689696096775), ('ipsi VII', 0.016766229261309468), ('contra VII', 0.0006568032905514634)]
0.013937282229965157;early;False;['II', 'III'];['II'];['IV', 'I', 'II', 'III'];['I', 'II'];0.07861814623927992;0.061508194211235455;0.09480481795132709;[('contra III', 0.049706190297904455), ('ipsi V', 0.014620019558318756), ('ipsi VII', 0.012373822803699207)]
0.017421602787456445;late;True;['II', 'III'];['II'];['IV', 'I', 'II', 'III'];['I', 'II'];0.09241719436193108;0.07354781865795018;0.11254221661916691;[('contra III', 0.05857449919184986), ('ipsi V', 0.018008750880403115), ('ipsi VII', 0.01384804727485062)]
0.003484320557491289;late;True;['II'];['II', 'VII'];['IV', 'III', 'I', 'II'];['I', 'II', 'VII'];0.09012720786305532;0.07192580079594105;0.11086950691815159;[('contra III', 0.05851312393692608), ('ipsi V', 0.016200490827848163), ('ipsi VII', 0.013841979660093186)]
0.003484320557491289;late;True;[];['II'];['II', 'IV', 'I', 'III'];['I', 'II'];0.06116605310823059;0.04767161563270333;0.07637763051767332;[('contra III', 0.039425375583186234), ('ipsi VII', 0.010044185292289351), ('ipsi V', 0.009392866210277823)]
0.010452961672473868;late;True;['II'];['II'];['IV', 'III', 'I', 'II'];['I', 'II'];0.08041809039238627;0.06419105115289613;0.09933508240132541;[('contra III', 0.05200198936668918), ('ipsi V', 0.013609296864845237), ('ipsi VII', 0.012535798089574151)]
0.003484320557491289;late;False;['II'];['II'];['IV', 'III', 'I', 'II'];['I', 'II'];0.07859579059957186;0.06260891618251556;0.096401516244913;[('contra III', 0.05043111482631582), ('ipsi V', 0.013641841614593161), ('ipsi VII', 0.012551800782602967)]
0.010452961672473868;late;True;['II', 'VII'];['II'];['IV', 'III', 'I', 'II', 'VII'];['I', 'II'];0.07822770455203319;0.061400821277247664;0.09762089109156924;[('contra III', 0.058635388873930314), ('ipsi V', 0.016255621498589737), ('contra IV', 0.004160792014287205)]
0.013937282229965157;early;True;[];[];['I', 'III'];[];0.07392472837439303;0.0660742499793585;0.08322162068879196;[('ipsi IV', 0.0324189345572488), ('ipsi II', 0.019601003747534464), ('contra III', 0.008534376017750778)]
0.003484320557491289;early;True;['VII'];[];['IV', 'I', 'III', 'VII'];[];0.06228245514266044;0.05082862340250515;0.07415206325784326;[('ipsi II', 0.033619375034942216), ('contra III', 0.012320819746238072), ('ipsi V', 0.0068948787632533365)]
0.006968641114982578;early;True;['II', 'III'];[];['IV', 'I', 'II', 'III'];[];0.05082199200039843;0.04111184735219858;0.06046619356181128;[('contra III', 0.015805037957389467), ('ipsi V', 0.011859072508269163), ('ipsi VII', 0.010925135521353957)]
0.003484320557491289;late;False;['I', 'II'];['VII'];['IV', 'III', 'I', 'II'];['VII'];0.05591533222853545;0.04606747615880603;0.06750895178583627;[('contra III', 0.01656769769878863), ('ipsi V', 0.014389238040400668), ('ipsi VII', 0.012960534667958299)]
0.020905923344947737;late;True;['I', 'II', 'III'];[];['IV', 'I', 'II', 'III'];[];0.060526521241398595;0.04991882583924521;0.07299247169924841;[('contra III', 0.018169333591546336), ('ipsi V', 0.01607693759204437), ('ipsi VII', 0.013017584940336786)]
0.003484320557491289;late;True;['III'];[];['IV', 'I', 'III'];[];0.0913198597624035;0.07518942399188218;0.11027706118854229;[('ipsi II', 0.048753477617765606), ('contra III', 0.01426134074529606), ('ipsi V', 0.00999364425797793)]
0.010452961672473868;late;True;['II', 'III', 'VII'];['II'];['IV', 'I', 'II', 'III', 'VII'];['I', 'II'];0.08853901229174214;0.0695162856244887;0.10953279769994174;[('contra III', 0.06437719106991549), ('ipsi V', 0.020963730666005164), ('contra IV', 0.004728352009279516)]
0.006968641114982578;early;False;['III'];[];['IV', 'I', 'III'];[];0.07268275340842027;0.061424353562894184;0.0847700615073045;[('ipsi II', 0.03735775987532859), ('contra III', 0.011406827876530872), ('ipsi VII', 0.008229463663242759)]
0.003484320557491289;late;True;['I', 'II'];[];['IV', 'III', 'I', 'II'];[];0.05285436896111652;0.04360215710923465;0.06346668321847362;[('contra III', 0.016619140983448993), ('ipsi V', 0.011928693674484535), ('ipsi VII', 0.011633575088169267)]
0.003484320557491289;late;True;['VII'];[];['IV', 'I', 'III', 'VII'];[];0.07695286869105107;0.06347518838034896;0.09264000431076924;[('ipsi II', 0.04398623835044531), ('contra III', 0.014178000562000708), ('ipsi V', 0.008918748466146063)]
0.010452961672473868;late;True;['II', 'III'];['II', 'III'];['IV', 'I', 'II', 'III'];['I', 'II', 'III'];0.07996190803858463;0.06468528739935275;0.0971696455936179;[('contra IV', 0.042361697642268444), ('ipsi V', 0.021392201785206937), ('ipsi VII', 0.01521873094176859)]
0.010452961672473868;late;True;['II', 'III'];[];['IV', 'I', 'II', 'III'];[];0.05789919587553371;0.047917691595058556;0.06908195164627545;[('contra III', 0.017518740766994098), ('ipsi V', 0.014960912762601284), ('ipsi VII', 0.012450302256931422)]
0.003484320557491289;late;True;['II', 'III', 'IV', 'V', 'VII'];['II', 'III', 'VII'];['I', 'II', 'III', 'IV', 'V', 'VII'];['I', 'II', 'III', 'VII'];0.06213282119430265;0.04344984594042388;0.0830293934441155;[('contra IV', 0.05886070555435406), ('contra V', 0.006236994124541258)]
0.010452961672473868;early;False;['II', 'III', 'VII'];[];['IV', 'I', 'II', 'III', 'VII'];[];0.043058176319565954;0.03465433138984481;0.053144216417871246;[('contra III', 0.01589104375076235), ('ipsi V', 0.014465004391172528), ('contra I', 0.007599661453886349)]
0.003484320557491289;late;False;['II', 'III', 'IV'];['II', 'III'];['V', 'I', 'II', 'III', 'IV'];['I', 'II', 'III'];0.06506414559638736;0.049182618756747676;0.08240414116396653;[('contra IV', 0.04602714895994321), ('ipsi VII', 0.016553699914421252), ('contra V', 0.004546627546602731)]
0.003484320557491289;late;False;[];['II'];['II', 'IV', 'I', 'III'];['I', 'II'];0.05967799919076398;0.04660344344163279;0.07401904617969746;[('contra III', 0.038162620186278355), ('ipsi VII', 0.010058800350708046), ('ipsi V', 0.009415701014105236)]
0.003484320557491289;late;True;['III'];['II'];['II', 'I', 'IV', 'III'];['I', 'II'];0.07454790150759799;0.0579527467673919;0.09297269039373515;[('contra III', 0.047427878090283454), ('ipsi V', 0.013280575055093134), ('ipsi VII', 0.011622790367562554)]
0.010452961672473868;early;True;['II'];[];['IV', 'III', 'I', 'II'];[];0.04282723394625411;0.034287051554378715;0.05092714278146687;[('contra III', 0.013821935467816817), ('ipsi VII', 0.009303698941768388), ('ipsi V', 0.008419857041615828)]
0.003484320557491289;late;False;['II', 'III'];['II'];['IV', 'I', 'II', 'III'];['I', 'II'];0.09042449530090937;0.07222541786121886;0.11026376816411922;[('contra III', 0.05683671234419881), ('ipsi V', 0.018049045752066204), ('ipsi VII', 0.013863844183404698)]
0.003484320557491289;early;False;['II'];['III', 'IV'];['IV', 'III', 'I', 'II'];['III', 'IV'];0.06498835541094902;0.04705511145048049;0.08638452433881046;[('contra V', 0.027261476823150957), ('ipsi V', 0.012997146776772281), ('ipsi VII', 0.012328127966826558)]
0.006968641114982578;early;False;['I', 'II'];[];['IV', 'III', 'I', 'II'];[];0.044968712620721094;0.03682145121421059;0.05478234515148408;[('contra III', 0.013816337752753762), ('ipsi VII', 0.01028317985887792), ('ipsi V', 0.009634520608760841)]
0.003484320557491289;late;True;['II'];['IV'];['IV', 'III', 'I', 'II'];['III', 'IV'];0.08218433048375516;0.05545879442585501;0.119017183963714;[('contra V', 0.04553354977716747), ('ipsi V', 0.013900997374230535), ('ipsi VII', 0.012684282708887669)]
0.006968641114982578;late;True;['II', 'III', 'IV', 'V'];[];['I', 'II', 'III', 'IV', 'V'];[];0.05299855223704067;0.043533397253855216;0.06357546103311033;[('contra III', 0.021259134318437508), ('ipsi VII', 0.016010026095756826), ('contra I', 0.008967436903121104)]
0.006968641114982578;late;False;['II', 'III', 'IV'];[];['V', 'I', 'II', 'III', 'IV'];[];0.04576044322030164;0.036471812038214334;0.055252367708651134;[('contra III', 0.017754118875338853), ('ipsi VII', 0.01418029083372882), ('contra I', 0.008051658504464591)]
