;Percentage of patients;T-stage;Midline Extension;Involvement Ipsi;Involvement Contra;Treated Ipsi;Treated Contra;risk;top 3 spared lnls risk
0;0.052044199515972396;early;False;[];[];['II'];[];0.07826025543262188;[('ipsi III', 0.03920910437669519), ('contra II', 0.009527516240367231), ('ipsi VII', 0.00907096889776731)]
1;0.0005986483993610278;early;False;[];['VII'];['III', 'II'];['VII'];0.055373179040411113;[('contra II', 0.012934013394033892), ('ipsi VII', 0.01266763645071834), ('ipsi I', 0.011376501295886288)]
2;6.085334957688309e-05;early;False;[];['V'];['III', 'II'];['IV', 'V'];0.06300918676463058;[('contra II', 0.013872784931882218), ('ipsi VII', 0.013252549490803806), ('ipsi I', 0.011866367323885912)]
3;1.0352641525332964e-06;early;False;[];['V', 'VII'];['III', 'II'];['IV', 'V', 'VII'];0.07053509905044836;[('contra II', 0.01614931027532028), ('ipsi VII', 0.015588410764983088), ('ipsi I', 0.013889188937206202)]
4;0.00023769265905454245;early;False;[];['IV'];['III', 'II'];['V', 'III', 'IV'];0.09063763885153259;[('contra II', 0.01893732935148065), ('ipsi VII', 0.012369558064428653), ('ipsi I', 0.011128308312767544)]
5;3.6988928599158212e-06;early;False;[];['IV', 'VII'];['III', 'II'];['V', 'III', 'IV', 'VII'];0.07012701839332591;[('contra II', 0.02438041782275106), ('ipsi VII', 0.01476125553462603), ('ipsi I', 0.013140682723470722)]
6;3.458230545817618e-05;early;False;[];['IV', 'V'];['III', 'II'];['III', 'IV', 'V'];0.09259994785131287;[('contra II', 0.018707431887078015), ('ipsi VII', 0.015989224847658353), ('ipsi I', 0.014169554799892445)]
7;7.274390934964987e-07;early;False;[];['IV', 'V', 'VII'];['III', 'II'];['III', 'IV', 'V', 'VII'];0.07680581637608108;[('contra II', 0.021244177633933208), ('ipsi VII', 0.017679018063234884), ('ipsi I', 0.015794053650200115)]
8;0.0001826466962944532;early;False;[];['III'];['III', 'II'];['II', 'III'];0.07537548824449886;[('contra IV', 0.028328016602042157), ('ipsi VII', 0.01318990790707969), ('ipsi I', 0.011802850092486678)]
9;3.0125586523953235e-06;early;False;[];['III', 'VII'];['III', 'II'];['IV', 'II', 'III', 'VII'];0.08662313648498651;[('ipsi VII', 0.01550584194684602), ('ipsi I', 0.013801968164674957), ('ipsi V', 0.011700192428734322)]
10;2.8857425706687503e-07;early;False;[];['III', 'V'];['III', 'II'];['II', 'IV', 'III', 'V'];0.0660250249433189;[('ipsi VII', 0.01819877576212825), ('ipsi I', 0.016334297757715333), ('ipsi V', 0.013833763662395556)]
